hour,intersection_id,approach,vehicle_count
6.0,0,N,0
6.0,0,S,0
6.0,0,E,1
6.0,0,W,0
6.0,1,N,1
6.0,1,S,0
6.0,1,E,0
6.0,1,W,0
6.0,2,N,0
6.0,2,S,0
6.0,2,E,0
6.0,2,W,0
6.0,3,N,1
6.0,3,S,0
6.0,3,E,0
6.0,3,W,0
6.0,4,N,0
6.0,4,S,1
6.0,4,E,0
6.0,4,W,0
6.0,5,N,1
6.0,5,S,0
6.0,5,E,1
6.0,5,W,0
6.0,6,N,0
6.0,6,S,1
6.0,6,E,0
6.0,6,W,0
6.0,7,N,0
6.0,7,S,0
6.0,7,E,0
6.0,7,W,0
6.0,8,N,0
6.0,8,S,0
6.0,8,E,0
6.0,8,W,1
6.0,9,N,0
6.0,9,S,1
6.0,9,E,0
6.0,9,W,0
6.0,10,N,2
6.0,10,S,2
6.0,10,E,1
6.0,10,W,0
6.0,11,N,1
6.0,11,S,0
6.0,11,E,0
6.0,11,W,0
6.083,0,N,0
6.083,0,S,0
6.083,0,E,1
6.083,0,W,0
6.083,1,N,0
6.083,1,S,0
6.083,1,E,0
6.083,1,W,0
6.083,2,N,0
6.083,2,S,0
6.083,2,E,0
6.083,2,W,0
6.083,3,N,0
6.083,3,S,0
6.083,3,E,0
6.083,3,W,0
6.083,4,N,1
6.083,4,S,0
6.083,4,E,0
6.083,4,W,0
6.083,5,N,0
6.083,5,S,1
6.083,5,E,0
6.083,5,W,0
6.083,6,N,1
6.083,6,S,0
6.083,6,E,1
6.083,6,W,1
6.083,7,N,1
6.083,7,S,2
6.083,7,E,0
6.083,7,W,0
6.083,8,N,0
6.083,8,S,1
6.083,8,E,0
6.083,8,W,0
6.083,9,N,1
6.083,9,S,0
6.083,9,E,0
6.083,9,W,0
6.083,10,N,0
6.083,10,S,0
6.083,10,E,0
6.083,10,W,0
6.083,11,N,0
6.083,11,S,0
6.083,11,E,0
6.083,11,W,0
6.167,0,N,1
6.167,0,S,0
6.167,0,E,1
6.167,0,W,0
6.167,1,N,0
6.167,1,S,0
6.167,1,E,1
6.167,1,W,0
6.167,2,N,0
6.167,2,S,0
6.167,2,E,1
6.167,2,W,0
6.167,3,N,1
6.167,3,S,0
6.167,3,E,2
6.167,3,W,1
6.167,4,N,1
6.167,4,S,1
6.167,4,E,0
6.167,4,W,0
6.167,5,N,0
6.167,5,S,1
6.167,5,E,2
6.167,5,W,2
6.167,6,N,1
6.167,6,S,0
6.167,6,E,1
6.167,6,W,0
6.167,7,N,0
6.167,7,S,0
6.167,7,E,0
6.167,7,W,0
6.167,8,N,1
6.167,8,S,0
6.167,8,E,1
6.167,8,W,1
6.167,9,N,0
6.167,9,S,0
6.167,9,E,0
6.167,9,W,0
6.167,10,N,1
6.167,10,S,1
6.167,10,E,0
6.167,10,W,0
6.167,11,N,0
6.167,11,S,0
6.167,11,E,0
6.167,11,W,1
6.25,0,N,0
6.25,0,S,0
6.25,0,E,0
6.25,0,W,0
6.25,1,N,0
6.25,1,S,0
6.25,1,E,1
6.25,1,W,0
6.25,2,N,0
6.25,2,S,1
6.25,2,E,1
6.25,2,W,0
6.25,3,N,0
6.25,3,S,0
6.25,3,E,0
6.25,3,W,0
6.25,4,N,0
6.25,4,S,0
6.25,4,E,0
6.25,4,W,0
6.25,5,N,0
6.25,5,S,0
6.25,5,E,1
6.25,5,W,1
6.25,6,N,1
6.25,6,S,1
6.25,6,E,0
6.25,6,W,0
6.25,7,N,1
6.25,7,S,0
6.25,7,E,0
6.25,7,W,0
6.25,8,N,1
6.25,8,S,0
6.25,8,E,1
6.25,8,W,0
6.25,9,N,0
6.25,9,S,1
6.25,9,E,0
6.25,9,W,1
6.25,10,N,0
6.25,10,S,0
6.25,10,E,0
6.25,10,W,0
6.25,11,N,0
6.25,11,S,0
6.25,11,E,1
6.25,11,W,1
6.333,0,N,0
6.333,0,S,0
6.333,0,E,0
6.333,0,W,0
6.333,1,N,1
6.333,1,S,2
6.333,1,E,0
6.333,1,W,0
6.333,2,N,0
6.333,2,S,1
6.333,2,E,0
6.333,2,W,0
6.333,3,N,1
6.333,3,S,0
6.333,3,E,0
6.333,3,W,0
6.333,4,N,0
6.333,4,S,0
6.333,4,E,0
6.333,4,W,0
6.333,5,N,0
6.333,5,S,0
6.333,5,E,1
6.333,5,W,0
6.333,6,N,1
6.333,6,S,0
6.333,6,E,3
6.333,6,W,1
6.333,7,N,1
6.333,7,S,0
6.333,7,E,0
6.333,7,W,0
